College Name ,City and State ,Selectivity 
Westminster College ," Fulton, MO ",3
William Jewell College ," Liberty, MO ",3
Montana State University ," Bozeman, MT ",3
Montana Tech of The University of Montana ," Butte, MT ",3
Clarkson College ," Omaha, NE ",3
Concordia University Nebraska ," Seward, NE ",3
Creighton University ," Omaha, NE ",3
Doane College ," Crete, NE ",3
Union College ," Lincoln, NE ",3
University of Nebraska at Lincoln ," Lincoln, NE ",3
Sierra Nevada College ," Incline Village, NV ",3
Dartmouth College ," Hanover, NH ",1
Rivier University ," Nashua, NH ",3
Saint Anselm College ," Manchester, NH ",3
University of New Hampshire ," Durham, NH ",3
College of New Jersey ," Ewing, NJ ",2
Drew University/College of Liberal Arts ," Madison, NJ ",3
New Jersey Institute of Technology ," Newark, NJ ",3
Princeton University ," Princeton, NJ ",1
Richard Stockton College of New Jersey ," Pomona, NJ ",3
Rowan University ," Glassboro, NJ ",3
"Rutgers, The State University of New Jersey/New Brunswick "," Piscataway, NJ ",3
Stevens Institute of Technology ," Hoboken, NJ ",2
New Mexico Institute of Mining and Technology ," Socorro, NM ",2
"St. John's College, Santa Fe "," Santa Fe, NM ",2
Adelphi University ," Garden City, NY ",3
Alfred University ," Alfred, NY ",3
Bard College ,"Annandale-on-Hudson, NY ",2
Barnard College ," New York, NY ",1
Binghamton University/The State University of New York ," Binghamton, NY ",2
Canisius College ," Buffalo, NY ",3
City University of New York/Baruch College ," New York, NY ",3
Clarkson University ," Potsdam, NY ",2
Colgate University ," Hamilton, NY ",1
College of Mount Saint Vincent ," Riverdale, NY ",1
Columbia University/City of New York ," New York, NY ",1
Columbia University/School of General Studies ," New York, NY ",1
Cooper Union for the Advancement of Science and Art ," New York, NY ",1
Cornell University ," Ithaca, NY ",1
CUNY/City College ," New York, NY ",2
Eugene Lang College/The New School for Liberal Arts ," New York, NY ",3
Fordham University ," Bronx, NY ",2
Hamilton College ," Clinton, NY ",1
Hobart and William Smith Colleges ," Geneva, NY ",3
Hofstra University ," Hempstead, NY ",3
Houghton College ," Houghton, NY ",3
Hunter College ," New York, NY ",3
Ithaca College ," Ithaca, NY ",2
Le Moyne College ," Syracuse, NY ",3
Manhattan College ," Riverdale, NY ",3
Manhattanville College ," Purchase, NY ",3
Marymount Manhattan College ," New York, NY ",3
Medaille College ," Buffalo, NY ",3
Metropolitan College of New York ," New York, NY ",3
Nazareth College of Rochester ," Rochester, NY ",3
New York Institute of Technology ," Old Westbury, NY ",3
New York University ," New York, NY ",1
Oswego / State University of New York ," Oswego, NY ",3
Pace University ," New York, NY ",3
Polytechnic Institute of New York University ," Brooklyn, NY ",2
Queens College/The City University of New York ," Flushing, NY ",3
Rensselaer Polytechnic Institute ," Troy, NY ",1
Rochester Institute of Technology ," Rochester, NY ",3
Sarah Lawrence College ," Bronxville, NY ",2
Siena College ," Loudonville, NY ",3
Skidmore College ," Saratoga Springs, NY ",2
"St. Joseph's College, New York/Suffolk Campus "," Patchogue, NY ",3
St. Lawrence University ," Canton, NY ",2
State University of New York / College of Environmental Science and Forestry ," Syracuse, NY ",2
Stony Brook University / State University of New York ," Stony Brook, NY ",2
SUNY College at Geneseo ," Geneseo, NY ",2
SUNY Fredonia/The State University of New York at Fredonia ," Fredonia, NY ",3
SUNY Oneonta / State University of New York ," Oneonta, NY ",3
SUNY Plattsburgh / State University of New York ," Plattsburgh, NY ",3
Syracuse University ," Syracuse, NY ",2
The College at Brockport/State University of New York ," Brockport, NY ",3
The College of New Rochelle ," New Rochelle, NY ",3
The State University of New York College of Agriculture and Tech at Cobleskill ," Cobleskill, NY ",3
